,통계표코드,통계명,통계항목1코드,통계항목명1,date,value
116,901Y009,4.2.1. 소비자물가지수,H02,전화 및 팩스장비,2018Q1,98.427
117,901Y009,4.2.1. 소비자물가지수,H021,전화 및 팩스장비,2018Q1,98.427
118,901Y009,4.2.1. 소비자물가지수,K01134,기타음료(외식),2018Q1,99.397
119,901Y009,4.2.1. 소비자물가지수,K01136,맥주(외식),2018Q1,96.061
120,901Y009,4.2.1. 소비자물가지수,K01138,구내식당식사비,2018Q1,93.328
121,901Y009,4.2.1. 소비자물가지수,K01139,도시락,2018Q1,95.413
122,901Y009,4.2.1. 소비자물가지수,K02,숙박 서비스,2018Q1,93.466
123,901Y009,4.2.1. 소비자물가지수,K021,숙박 서비스,2018Q1,93.466
124,901Y009,4.2.1. 소비자물가지수,K02101,호텔숙박료,2018Q1,104.688
125,901Y009,4.2.1. 소비자물가지수,K02102,여관숙박료,2018Q1,101.389
126,901Y009,4.2.1. 소비자물가지수,K02103,콘도이용료,2018Q1,101.465
127,901Y009,4.2.1. 소비자물가지수,K02104,학교기숙사비,2018Q1,95.666
128,901Y009,4.2.1. 소비자물가지수,K02105,휴양시설이용료,2018Q1,81.99
129,901Y009,4.2.1. 소비자물가지수,L,기타 상품 및 서비스,2018Q1,96.109
130,901Y009,4.2.1. 소비자물가지수,L01,미용용품 및 미용 서비스,2018Q1,97.332
131,901Y009,4.2.1. 소비자물가지수,L011,이미용 및 미용시설,2018Q1,95.393
132,901Y009,4.2.1. 소비자물가지수,L01101,목욕료,2018Q1,93.572
133,901Y009,4.2.1. 소비자물가지수,L01102,찜질방이용료,2018Q1,95.215
134,901Y009,4.2.1. 소비자물가지수,L01103,이발료,2018Q1,96.421
135,901Y009,4.2.1. 소비자물가지수,L01104,미용료,2018Q1,95.494
136,901Y009,4.2.1. 소비자물가지수,L01105,뷰티미용료,2018Q1,96.469
137,901Y009,4.2.1. 소비자물가지수,L012,개인용 전기용품 및 미용용품,2018Q1,99.116
138,901Y009,4.2.1. 소비자물가지수,L01201,면도기,2018Q1,106.455
139,901Y009,4.2.1. 소비자물가지수,I03101,장난감,2018Q1,99.142
140,901Y009,4.2.1. 소비자물가지수,I03102,레저용품,2018Q1,98.515
141,901Y009,4.2.1. 소비자물가지수,I03103,운동용품,2018Q1,95.093
142,901Y009,4.2.1. 소비자물가지수,I03104,화초,2018Q1,114.069
143,901Y009,4.2.1. 소비자물가지수,I03105,원예용품,2018Q1,98.821
144,901Y009,4.2.1. 소비자물가지수,I03106,반려동물용품,2018Q1,99.682
145,901Y009,4.2.1. 소비자물가지수,I03107,반려동물관리비,2018Q1,101.686
146,901Y009,4.2.1. 소비자물가지수,I04,오락 및 문화 서비스,2018Q1,96.655
147,901Y009,4.2.1. 소비자물가지수,I041,오락 및 스포츠 서비스,2018Q1,96.862
148,901Y009,4.2.1. 소비자물가지수,I04101,수영장이용료,2018Q1,94.62
149,901Y009,4.2.1. 소비자물가지수,I04102,볼링장이용료,2018Q1,96.821
150,901Y009,4.2.1. 소비자물가지수,I04104,골프연습장이용료,2018Q1,99.887
151,901Y009,4.2.1. 소비자물가지수,I04106,당구장이용료,2018Q1,98.737
152,901Y009,4.2.1. 소비자물가지수,I04107,노래방이용료,2018Q1,97.426
153,901Y009,4.2.1. 소비자물가지수,I04109,놀이시설이용료,2018Q1,96.186
154,901Y009,4.2.1. 소비자물가지수,I04110,운동경기관람료,2018Q1,95.5
155,901Y009,4.2.1. 소비자물가지수,I042,문화 서비스,2018Q1,96.541
156,901Y009,4.2.1. 소비자물가지수,I04201,영화관람료,2018Q1,88.453
157,901Y009,4.2.1. 소비자물가지수,I04202,공연예술관람료,2018Q1,100.082
158,901Y009,4.2.1. 소비자물가지수,I04203,관람시설이용료,2018Q1,97.209
159,901Y009,4.2.1. 소비자물가지수,I04204,독서실비,2018Q1,98.565
160,901Y009,4.2.1. 소비자물가지수,I04205,문화강습료,2018Q1,94.275
161,901Y009,4.2.1. 소비자물가지수,I04206,온라인콘텐츠이용료,2018Q1,98.749
162,901Y009,4.2.1. 소비자물가지수,I04207,방송수신료,2018Q1,99.877
163,901Y009,4.2.1. 소비자물가지수,I04208,사진서비스료,2018Q1,94.612
164,901Y009,4.2.1. 소비자물가지수,I05,"신문, 서적 및 문방구",2018Q1,98.113
165,901Y009,4.2.1. 소비자물가지수,I051,서적,2018Q1,99.69
166,901Y009,4.2.1. 소비자물가지수,I05101,유아용학습교재,2018Q1,98.334
167,901Y009,4.2.1. 소비자물가지수,I05102,초등학교학습서,2018Q1,93.902
168,901Y009,4.2.1. 소비자물가지수,I05103,중학교학습서,2018Q1,93.923
169,901Y009,4.2.1. 소비자물가지수,I05104,고등학교학습서,2018Q1,95.685
170,901Y009,4.2.1. 소비자물가지수,I05106,서적,2018Q1,99.912
171,901Y009,4.2.1. 소비자물가지수,I052,신문 및 정기 간행물,2018Q1,90.001
172,901Y009,4.2.1. 소비자물가지수,I05201,신문,2018Q1,90.001
173,901Y009,4.2.1. 소비자물가지수,I053,문방구,2018Q1,96.014
174,901Y009,4.2.1. 소비자물가지수,I05304,회화용구,2018Q1,91.754
175,901Y009,4.2.1. 소비자물가지수,I06,단체여행,2018Q1,103.282
176,901Y009,4.2.1. 소비자물가지수,I061,단체여행,2018Q1,103.282
177,901Y009,4.2.1. 소비자물가지수,I06101,국내단체여행비,2018Q1,97.818
178,901Y009,4.2.1. 소비자물가지수,I06102,해외단체여행비,2018Q1,104.42
179,901Y009,4.2.1. 소비자물가지수,J,교육,2018Q1,101.142
180,901Y009,4.2.1. 소비자물가지수,J01,유치원 및 초등교육,2018Q1,103.894
181,901Y009,4.2.1. 소비자물가지수,J011,유치원 및 초등교육,2018Q1,103.894
182,901Y009,4.2.1. 소비자물가지수,L01204,치약,2018Q1,93.139
183,901Y009,4.2.1. 소비자물가지수,L01205,비누,2018Q1,102.809
184,901Y009,4.2.1. 소비자물가지수,L01206,샴푸,2018Q1,95.57
185,901Y009,4.2.1. 소비자물가지수,L01207,바디워시,2018Q1,111.517
186,901Y009,4.2.1. 소비자물가지수,L01208,화장지,2018Q1,94.683
187,901Y009,4.2.1. 소비자물가지수,L01209,기초화장품,2018Q1,99.641
188,901Y009,4.2.1. 소비자물가지수,L01210,기능성화장품,2018Q1,98.998
189,901Y009,4.2.1. 소비자물가지수,L01211,색조화장품,2018Q1,97.467
190,901Y009,4.2.1. 소비자물가지수,L01212,모발염색약,2018Q1,97.932
191,901Y009,4.2.1. 소비자물가지수,L01213,구강세정제,2018Q1,93.085
192,901Y009,4.2.1. 소비자물가지수,L02,기타 개인용품,2018Q1,95.478
193,901Y009,4.2.1. 소비자물가지수,L021,기타 개인용품,2018Q1,95.478
194,901Y009,4.2.1. 소비자물가지수,L02101,손목시계,2018Q1,96.775
195,901Y009,4.2.1. 소비자물가지수,L02102,장신구,2018Q1,88.128
196,901Y009,4.2.1. 소비자물가지수,L02103,가방,2018Q1,93.048
197,901Y009,4.2.1. 소비자물가지수,L02104,핸드백,2018Q1,99.808
198,901Y009,4.2.1. 소비자물가지수,L02105,우산,2018Q1,100.668
199,901Y009,4.2.1. 소비자물가지수,L02106,유모차,2018Q1,107.001
200,901Y009,4.2.1. 소비자물가지수,L03,기타서비스,2018Q1,94.527
201,901Y009,4.2.1. 소비자물가지수,L031,기타서비스,2018Q1,94.527
202,901Y009,4.2.1. 소비자물가지수,L03106,금융수수료,2018Q1,100.01
203,901Y009,4.2.1. 소비자물가지수,L03108,행정수수료,2018Q1,100
204,901Y009,4.2.1. 소비자물가지수,D05202,취사용LPG,2018Q1,102.894
205,901Y009,4.2.1. 소비자물가지수,D053,기타연료 및 에너지,2018Q1,100.57
206,901Y009,4.2.1. 소비자물가지수,D05301,등유,2018Q1,104.849
207,901Y009,4.2.1. 소비자물가지수,D05303,부탄가스,2018Q1,101.195
208,901Y009,4.2.1. 소비자물가지수,J04201,취업학원비,2018Q1,97.091
209,901Y009,4.2.1. 소비자물가지수,J04202,외국어학원비,2018Q1,95.563
210,901Y009,4.2.1. 소비자물가지수,J04203,운동강습료,2018Q1,96.11
211,901Y009,4.2.1. 소비자물가지수,K,음식 및 숙박,2018Q1,96.204
212,901Y009,4.2.1. 소비자물가지수,K01,음식 서비스,2018Q1,96.322
213,901Y009,4.2.1. 소비자물가지수,K011,음식 서비스,2018Q1,96.322
214,901Y009,4.2.1. 소비자물가지수,K01101,김치찌개백반,2018Q1,94.098
215,901Y009,4.2.1. 소비자물가지수,K01102,된장찌개백반,2018Q1,94
216,901Y009,4.2.1. 소비자물가지수,K01103,비빔밥,2018Q1,94.778
217,901Y009,4.2.1. 소비자물가지수,K01104,설렁탕,2018Q1,94.902
218,901Y009,4.2.1. 소비자물가지수,K01105,갈비탕,2018Q1,92.534
219,901Y009,4.2.1. 소비자물가지수,K01106,삼계탕,2018Q1,95.644
220,901Y009,4.2.1. 소비자물가지수,K01107,해물찜,2018Q1,97.704
221,901Y009,4.2.1. 소비자물가지수,K01108,해장국,2018Q1,94.796
222,901Y009,4.2.1. 소비자물가지수,K01109,불고기,2018Q1,94.855
223,901Y009,4.2.1. 소비자물가지수,K01110,쇠고기(외식),2018Q1,94.295
224,901Y009,4.2.1. 소비자물가지수,K01111,돼지갈비(외식),2018Q1,95.901
225,901Y009,4.2.1. 소비자물가지수,K01112,삼겹살(외식),2018Q1,95.591
226,901Y009,4.2.1. 소비자물가지수,K01113,오리고기(외식),2018Q1,96.98
227,901Y009,4.2.1. 소비자물가지수,K01114,냉면,2018Q1,92.912
228,901Y009,4.2.1. 소비자물가지수,K01115,칼국수,2018Q1,93.526
229,901Y009,4.2.1. 소비자물가지수,K01116,죽(외식),2018Q1,89.785
230,901Y009,4.2.1. 소비자물가지수,K01117,생선초밥,2018Q1,96.188
231,901Y009,4.2.1. 소비자물가지수,K01118,생선회(외식),2018Q1,100.023
232,901Y009,4.2.1. 소비자물가지수,K01119,자장면,2018Q1,93.828
233,901Y009,4.2.1. 소비자물가지수,K01120,짬뽕,2018Q1,93.178
234,901Y009,4.2.1. 소비자물가지수,K01121,탕수육,2018Q1,94.853
235,901Y009,4.2.1. 소비자물가지수,K01122,볶음밥,2018Q1,94.074
236,901Y009,4.2.1. 소비자물가지수,K01123,돈가스,2018Q1,95.346
237,901Y009,4.2.1. 소비자물가지수,K01124,스테이크,2018Q1,94.684
238,901Y009,4.2.1. 소비자물가지수,K01125,스파게티,2018Q1,96.512
239,901Y009,4.2.1. 소비자물가지수,K01126,라면(외식),2018Q1,93.045
240,901Y009,4.2.1. 소비자물가지수,K01127,김밥,2018Q1,90.395
241,901Y009,4.2.1. 소비자물가지수,K01128,떡볶이,2018Q1,91.419
242,901Y009,4.2.1. 소비자물가지수,K01129,치킨,2018Q1,91.703
243,901Y009,4.2.1. 소비자물가지수,K01130,햄버거,2018Q1,98.07
244,901Y009,4.2.1. 소비자물가지수,K01131,피자,2018Q1,99.119
245,901Y009,4.2.1. 소비자물가지수,K01133,커피(외식),2018Q1,97.101
246,901Y009,4.2.1. 소비자물가지수,E011,"가구, 가사비품 및 카페트",2018Q1,92.434
247,901Y009,4.2.1. 소비자물가지수,E01101,장롱,2018Q1,94.154
248,901Y009,4.2.1. 소비자물가지수,E01102,침대,2018Q1,88.451
249,901Y009,4.2.1. 소비자물가지수,E01103,거실장,2018Q1,93.788
250,901Y009,4.2.1. 소비자물가지수,E01104,소파,2018Q1,96.4
251,901Y009,4.2.1. 소비자물가지수,E01105,책상,2018Q1,93.087
252,901Y009,4.2.1. 소비자물가지수,E01106,의자,2018Q1,95.97
253,901Y009,4.2.1. 소비자물가지수,E01107,식탁,2018Q1,95.153
254,901Y009,4.2.1. 소비자물가지수,E01108,싱크대,2018Q1,90.498
255,901Y009,4.2.1. 소비자물가지수,E02,가정용 섬유제품,2018Q1,95.878
256,901Y009,4.2.1. 소비자물가지수,E021,가정용 섬유제품,2018Q1,95.878
257,901Y009,4.2.1. 소비자물가지수,E02101,침구,2018Q1,95.178
258,901Y009,4.2.1. 소비자물가지수,E02102,커튼,2018Q1,101.091
259,901Y009,4.2.1. 소비자물가지수,E03,가정용 기기,2018Q1,101.38
260,901Y009,4.2.1. 소비자물가지수,E031,가정용 기구,2018Q1,101.555
261,901Y009,4.2.1. 소비자물가지수,E03101,전기밥솥,2018Q1,125.967
262,901Y009,4.2.1. 소비자물가지수,E03102,가스레인지,2018Q1,106.554
263,901Y009,4.2.1. 소비자물가지수,E03103,전자레인지,2018Q1,98.141
264,901Y009,4.2.1. 소비자물가지수,E03104,전기레인지,2018Q1,86.441
265,901Y009,4.2.1. 소비자물가지수,E03105,냉장고,2018Q1,98.011
266,901Y009,4.2.1. 소비자물가지수,E03106,김치냉장고,2018Q1,100.232
267,901Y009,4.2.1. 소비자물가지수,E03107,에어컨,2018Q1,100.307
268,901Y009,4.2.1. 소비자물가지수,E03108,선풍기,2018Q1,94.389
269,901Y009,4.2.1. 소비자물가지수,E03109,공기청정기,2018Q1,100.527
270,901Y009,4.2.1. 소비자물가지수,E03110,세탁기,2018Q1,99.704
271,901Y009,4.2.1. 소비자물가지수,E03113,청소기,2018Q1,99.547
272,901Y009,4.2.1. 소비자물가지수,E03114,소형주방가전,2018Q1,137.526
273,901Y009,4.2.1. 소비자물가지수,E032,가정용 기구 수리서비스,2018Q1,100.714
274,901Y009,4.2.1. 소비자물가지수,E03201,가전제품수리비,2018Q1,93.687
275,901Y009,4.2.1. 소비자물가지수,E03202,가전제품렌탈비,2018Q1,108.434
276,901Y009,4.2.1. 소비자물가지수,E04,주방용품 및 가정용품,2018Q1,98.118
277,901Y009,4.2.1. 소비자물가지수,E041,주방용품 및 가정용품,2018Q1,98.118
278,901Y009,4.2.1. 소비자물가지수,E04101,식기,2018Q1,89.684
279,901Y009,4.2.1. 소비자물가지수,E04102,컵,2018Q1,104.202
280,901Y009,4.2.1. 소비자물가지수,E04103,솥,2018Q1,93.983
281,901Y009,4.2.1. 소비자물가지수,E04104,프라이팬,2018Q1,103.052
282,901Y009,4.2.1. 소비자물가지수,E04105,냄비,2018Q1,101.063
283,901Y009,4.2.1. 소비자물가지수,E04106,수저,2018Q1,96.686
284,901Y009,4.2.1. 소비자물가지수,E04107,밀폐용기,2018Q1,105.749
285,901Y009,4.2.1. 소비자물가지수,E04108,부엌용용구,2018Q1,96.674
286,901Y009,4.2.1. 소비자물가지수,E05,가정·정원용 공구 및 장비,2018Q1,100.501
287,901Y009,4.2.1. 소비자물가지수,E051,가정·정원용 공구 및 장비,2018Q1,100.501
288,901Y009,4.2.1. 소비자물가지수,E05101,보일러,2018Q1,96.808
289,901Y009,4.2.1. 소비자물가지수,E05102,건전지,2018Q1,94.927
290,901Y009,4.2.1. 소비자물가지수,E05103,소형가사용품,2018Q1,107.774
291,901Y009,4.2.1. 소비자물가지수,E06,일상 생활용품 및 가사 서비스,2018Q1,94.54
292,901Y009,4.2.1. 소비자물가지수,E061,비내구성 가정용품,2018Q1,99.446
293,901Y009,4.2.1. 소비자물가지수,E06101,세탁세제,2018Q1,101.795
294,901Y009,4.2.1. 소비자물가지수,E06102,섬유유연제,2018Q1,110.367
295,901Y009,4.2.1. 소비자물가지수,E06103,전구,2018Q1,102.412
296,901Y009,4.2.1. 소비자물가지수,E06104,부엌용세제,2018Q1,98.746
297,901Y009,4.2.1. 소비자물가지수,E06105,청소용세제,2018Q1,90.787
298,901Y009,4.2.1. 소비자물가지수,E06106,살충제,2018Q1,97.165
299,901Y009,4.2.1. 소비자물가지수,E06107,가정용비닐용품,2018Q1,84.225
300,901Y009,4.2.1. 소비자물가지수,E06108,키친타월,2018Q1,99.928
301,901Y009,4.2.1. 소비자물가지수,E06109,방향제,2018Q1,98.435
302,901Y009,4.2.1. 소비자물가지수,E06110,습기제거제,2018Q1,109.516
303,901Y009,4.2.1. 소비자물가지수,E062,가구내 고용 및 가사 서비스,2018Q1,89.774
304,901Y009,4.2.1. 소비자물가지수,E06201,가사도우미료,2018Q1,89.44
305,901Y009,4.2.1. 소비자물가지수,E06202,간병도우미료,2018Q1,90.517
306,901Y009,4.2.1. 소비자물가지수,F,보건,2018Q1,98.772
307,901Y009,4.2.1. 소비자물가지수,F01,의료용품 및 장비,2018Q1,98.437
308,901Y009,4.2.1. 소비자물가지수,L01202,헤어드라이어,2018Q1,119.542
309,901Y009,4.2.1. 소비자물가지수,L01203,칫솔,2018Q1,97.701
310,901Y009,4.2.1. 소비자물가지수,B021,담배,2018Q1,100
311,901Y009,4.2.1. 소비자물가지수,B02101,담배,2018Q1,100
312,901Y009,4.2.1. 소비자물가지수,C,의류 및 신발,2018Q1,98.924
313,901Y009,4.2.1. 소비자물가지수,C01,의류 ,2018Q1,99.328
314,901Y009,4.2.1. 소비자물가지수,C011,남자의류,2018Q1,101.555
315,901Y009,4.2.1. 소비자물가지수,C01101,남자외의,2018Q1,98.518
316,901Y009,4.2.1. 소비자물가지수,C01102,남자상의,2018Q1,100.458
317,901Y009,4.2.1. 소비자물가지수,C01104,남자내의,2018Q1,98.768
318,901Y009,4.2.1. 소비자물가지수,C012,여자의류,2018Q1,100.013
319,901Y009,4.2.1. 소비자물가지수,C01201,여자외의,2018Q1,97.916
320,901Y009,4.2.1. 소비자물가지수,C01202,원피스,2018Q1,99.232
321,901Y009,4.2.1. 소비자물가지수,C01203,여자상의,2018Q1,102.538
322,901Y009,4.2.1. 소비자물가지수,C01205,여자내의,2018Q1,97.841
323,901Y009,4.2.1. 소비자물가지수,C013,캐쥬얼의류,2018Q1,96.239
324,901Y009,4.2.1. 소비자물가지수,C01301,점퍼,2018Q1,94.887
325,901Y009,4.2.1. 소비자물가지수,C01302,티셔츠,2018Q1,96.438
326,901Y009,4.2.1. 소비자물가지수,C01303,스웨터,2018Q1,95.208
